Ticket ID,Ticket Status,Ticket Priority,Date of Purchase,Time to Resolution,Lifespan_Hours
1,Pending Customer Response,Critical,2021-03-22,,
2,Pending Customer Response,Critical,2021-05-22,,
3,Closed,Low,2020-07-14,2023-06-01 18:05:38,25266.09388888889
4,Closed,Low,2020-11-13,2023-06-01 01:57:40,22321.96111111111
5,Closed,Low,2020-02-04,2023-06-01 19:53:42,29131.895
6,Open,Low,2020-07-28,,
7,Open,Critical,2020-02-23,,
8,Open,Critical,2020-08-09,,
9,Pending Customer Response,Low,2020-07-16,,
10,Pending Customer Response,Critical,2020-03-06,,
11,Closed,High,2021-01-19,2023-05-31 23:51:49,20711.863611111112
12,Closed,High,2021-10-24,2023-06-01 09:27:51,14049.464166666667
13,Pending Customer Response,Low,2021-05-26,,
14,Pending Customer Response,Low,2020-07-13,,
15,Closed,High,2020-02-29,2023-05-31 23:08:55,28511.14861111111
16,Pending Customer Response,High,2021-06-24,,
17,Closed,Critical,2021-10-13,2023-06-01 15:58:59,14319.983055555556
18,Pending Customer Response,High,2020-09-07,,
19,Open,High,2021-09-23,,
20,Closed,Low,2021-03-08,2023-06-01 20:29:04,19580.484444444446
21,Pending Customer Response,High,2021-05-31,,
22,Pending Customer Response,Critical,2020-02-04,,
23,Open,Medium,2020-02-11,,
24,Pending Customer Response,Low,2021-08-06,,
25,Open,Critical,2021-05-25,,
26,Pending Customer Response,Medium,2021-07-05,,
27,Pending Customer Response,Low,2020-05-02,,
28,Open,High,2020-10-12,,
29,Closed,Critical,2020-06-10,2023-06-01 06:03:17,26070.054722222223
30,Closed,Medium,2020-12-26,2023-06-01 18:23:17,21306.388055555555
31,Open,Low,2021-01-28,,
32,Closed,Medium,2021-12-20,2023-06-01 07:16:21,12679.2725
33,Pending Customer Response,Medium,2021-12-07,,
34,Closed,Critical,2021-12-09,2023-06-01 18:25:23,12954.423055555555
35,Pending Customer Response,Low,2021-04-09,,
36,Closed,High,2020-10-13,2023-06-01 00:14:25,23064.24027777778
37,Pending Customer Response,Medium,2020-03-14,,
38,Open,Medium,2020-09-02,,
39,Closed,Critical,2021-09-10,2023-05-31 21:53:30,15093.891666666666
40,Pending Customer Response,Medium,2021-10-22,,
41,Pending Customer Response,Low,2021-02-07,,
42,Closed,Critical,2021-06-09,2023-06-01 14:43:34,17342.72611111111
43,Pending Customer Response,Medium,2020-10-10,,
44,Open,Low,2020-01-16,,
45,Closed,Critical,2021-09-25,2023-06-01 03:19:39,14739.3275
46,Open,Low,2021-02-01,,
47,Closed,High,2020-10-15,2023-06-01 09:24:43,23025.411944444444
48,Closed,Medium,2020-07-29,2023-06-01 05:59:45,24893.995833333334
49,Open,High,2021-02-15,,
50,Open,Medium,2020-09-27,,
51,Open,Medium,2020-12-22,,
52,Closed,Medium,2020-11-20,2023-06-01 10:31:49,22162.530277777776
53,Closed,High,2021-10-10,2023-06-01 20:59:49,14396.996944444445
54,Closed,Low,2021-08-16,2023-06-01 10:25:50,15706.430555555555
55,Pending Customer Response,Low,2021-10-14,,
56,Pending Customer Response,Critical,2021-11-19,,
57,Pending Customer Response,Medium,2021-12-22,,
58,Open,Critical,2020-07-28,,
59,Closed,Medium,2020-07-31,2023-06-01 04:45:57,24844.765833333335
60,Closed,Medium,2021-09-05,2023-06-01 00:38:58,15216.649444444445
61,Closed,Medium,2020-11-16,2023-06-01 11:55:00,22259.916666666668
62,Pending Customer Response,Critical,2021-11-21,,
63,Closed,High,2020-12-12,2023-06-01 12:41:04,21636.684444444443
64,Pending Customer Response,High,2020-04-24,,
65,Open,Medium,2021-08-02,,
66,Pending Customer Response,Medium,2021-11-11,,
67,Closed,High,2021-08-08,2023-06-01 10:17:08,15898.285555555556
68,Pending Customer Response,Low,2021-06-27,,
69,Pending Customer Response,Critical,2021-02-06,,
70,Closed,High,2020-02-13,2023-05-31 22:51:12,28894.853333333333
71,Pending Customer Response,Medium,2021-05-15,,
72,Open,Medium,2020-09-26,,
73,Closed,Low,2021-02-16,2023-06-01 03:17:16,20043.28777777778
74,Closed,Critical,2020-11-09,2023-06-01 02:24:17,22418.40472222222
75,Open,Critical,2021-04-16,,
76,Closed,Critical,2021-01-06,2023-06-01 02:30:20,21026.505555555555
77,Open,Critical,2020-06-30,,
78,Closed,Low,2020-12-29,2023-06-01 15:21:24,21231.356666666667
79,Pending Customer Response,Medium,2021-01-07,,
80,Pending Customer Response,Critical,2020-11-03,,
81,Pending Customer Response,Critical,2021-03-22,,
82,Pending Customer Response,Medium,2021-07-22,,
83,Closed,Low,2021-10-04,2023-06-01 20:35:30,14540.591666666667
84,Pending Customer Response,Critical,2021-08-11,,
85,Open,Medium,2021-08-02,,
86,Open,High,2021-01-22,,
87,Closed,Critical,2020-01-18,2023-06-01 06:23:35,29526.393055555556
88,Pending Customer Response,High,2020-09-10,,
89,Open,Critical,2021-08-01,,
90,Closed,Medium,2020-01-30,2023-06-01 03:09:40,29235.161111111112
91,Pending Customer Response,High,2020-10-15,,
92,Pending Customer Response,Low,2021-11-14,,
93,Pending Customer Response,Low,2021-05-27,,
94,Open,Low,2021-05-24,,
95,Open,Critical,2021-12-06,,
96,Closed,High,2021-10-02,2023-06-01 18:39:49,14586.663611111111
97,Open,High,2020-10-25,,
98,Pending Customer Response,High,2020-01-18,,
99,Closed,High,2020-09-09,2023-06-01 14:45:53,23894.764722222222
100,Pending Customer Response,Low,2020-05-15,,
101,Pending Customer Response,High,2020-05-31,,
102,Pending Customer Response,Critical,2021-08-01,,
103,Closed,Critical,2021-01-26,2023-06-01 15:23:58,20559.399444444443
104,Open,High,2020-02-24,,
105,Open,High,2021-06-27,,
106,Pending Customer Response,Critical,2021-07-17,,
107,Closed,Low,2021-05-20,2023-06-01 20:46:01,17828.766944444444
108,Pending Customer Response,High,2021-06-09,,
109,Closed,Critical,2020-01-08,2023-06-01 08:15:03,29768.25083333333
110,Open,High,2020-03-10,,
111,Closed,High,2021-07-28,2023-06-01 12:43:05,16164.718055555555
112,Open,High,2021-11-29,,
113,Open,Medium,2020-03-24,,
114,Closed,High,2021-11-12,2023-05-31 22:24:09,13582.4025
115,Closed,High,2020-09-20,2023-06-01 06:04:10,23622.069444444445
116,Open,Critical,2021-01-16,,
117,Closed,High,2021-11-27,2023-06-01 18:17:13,13242.286944444444
118,Closed,Medium,2020-02-16,2023-06-01 04:42:14,28828.70388888889
119,Open,High,2020-08-17,,
120,Closed,Low,2021-07-31,2023-06-01 14:49:17,16094.82138888889
121,Pending Customer Response,Medium,2021-03-11,,
122,Open,Critical,2021-03-03,,
123,Open,Low,2020-10-03,,
124,Pending Customer Response,Low,2021-12-27,,
125,Pending Customer Response,High,2021-03-23,,
126,Open,Medium,2020-06-27,,
127,Open,Low,2020-06-22,,
128,Pending Customer Response,Low,2020-09-28,,
129,Closed,Medium,2021-04-15,2023-06-01 00:29:33,18648.4925
130,Pending Customer Response,Low,2021-05-05,,
131,Closed,Medium,2020-02-13,2023-06-01 15:03:36,28911.06
132,Pending Customer Response,Critical,2021-11-24,,
133,Open,Medium,2021-05-01,,
134,Closed,Critical,2021-06-17,2023-05-31 22:53:41,17134.894722222223
135,Closed,Critical,2020-05-01,2023-06-01 01:07:42,27025.128333333334
136,Pending Customer Response,Low,2021-10-30,,
137,Open,Critical,2020-10-01,,
138,Closed,Low,2021-12-20,2023-06-01 09:08:46,12681.146111111111
139,Closed,Critical,2021-02-12,2023-06-01 06:58:47,20142.979722222222
140,Pending Customer Response,Low,2021-03-12,,
141,Closed,Critical,2021-05-09,2023-06-01 05:30:50,18077.51388888889
142,Closed,High,2020-04-13,2023-06-01 05:10:52,27461.181111111113
143,Pending Customer Response,High,2021-04-26,,
144,Open,Critical,2021-05-05,,
145,Open,Low,2021-04-02,,
146,Pending Customer Response,Medium,2020-10-12,,
147,Open,Low,2021-07-11,,
148,Closed,Low,2020-10-06,2023-05-31 23:28:03,23231.4675
149,Closed,High,2021-10-24,2023-06-01 13:55:05,14053.918055555556
150,Closed,Critical,2021-03-18,2023-06-01 20:02:07,19340.035277777777
151,Closed,Critical,2020-10-14,2023-06-01 06:51:09,23046.8525
152,Pending Customer Response,Medium,2021-12-24,,
153,Pending Customer Response,Low,2021-10-19,,
154,Pending Customer Response,Medium,2020-03-12,,
155,Open,Medium,2021-06-09,,
156,Open,Low,2020-01-29,,
157,Open,Low,2020-12-11,,
158,Open,Medium,2020-01-29,,
159,Pending Customer Response,Low,2021-11-30,,
160,Pending Customer Response,High,2021-02-03,,
161,Pending Customer Response,High,2020-07-19,,
162,Closed,High,2020-01-06,2023-06-01 15:58:25,29823.973611111112
163,Closed,Critical,2021-10-23,2023-06-01 10:37:27,14074.624166666666
164,Closed,Medium,2020-11-11,2023-06-01 09:02:27,22377.040833333333
165,Closed,Low,2021-05-21,2023-06-01 21:26:29,17805.44138888889
166,Pending Customer Response,Low,2020-07-25,,
167,Closed,Medium,2020-04-03,2023-06-01 07:29:32,27703.492222222223
168,Closed,Medium,2020-01-31,2023-06-01 06:19:33,29214.325833333332
169,Open,High,2021-09-03,,
170,Closed,Medium,2020-08-04,2023-06-01 11:08:36,24755.143333333333
171,Closed,Low,2021-12-24,2023-06-01 18:36:38,12594.610555555555
172,Open,Low,2020-12-11,,
173,Pending Customer Response,Medium,2020-01-27,,
174,Pending Customer Response,Medium,2021-10-01,,
175,Pending Customer Response,Critical,2021-10-05,,
176,Closed,Medium,2021-10-18,2023-06-01 07:23:45,14191.395833333334
177,Pending Customer Response,Medium,2021-11-16,,
178,Pending Customer Response,High,2020-09-21,,
179,Open,Medium,2020-04-19,,
180,Pending Customer Response,Critical,2021-06-03,,
181,Pending Customer Response,Medium,2021-11-17,,
182,Pending Customer Response,Critical,2020-11-26,,
183,Closed,High,2021-04-18,2023-06-01 06:34:56,18582.582222222223
184,Closed,Medium,2020-03-16,2023-06-01 03:51:57,28131.865833333333
185,Pending Customer Response,High,2021-10-17,,
186,Open,Low,2021-03-19,,
187,Pending Customer Response,Medium,2021-04-23,,
